source_split,category,count
test,Refund_not_showing_up,40
test,activate_my_card,40
test,age_limit,40
test,apple_pay_or_google_pay,40
test,atm_support,40
test,automatic_top_up,40
test,balance_not_updated_after_bank_transfer,40
test,balance_not_updated_after_cheque_or_cash_deposit,40
test,beneficiary_not_allowed,40
test,cancel_transfer,40
test,card_about_to_expire,40
test,card_acceptance,40
test,card_arrival,40
test,card_delivery_estimate,40
test,card_linking,40
test,card_not_working,40
test,card_payment_fee_charged,40
test,card_payment_not_recognised,40
test,card_payment_wrong_exchange_rate,40
test,card_swallowed,40
test,cash_withdrawal_charge,40
test,cash_withdrawal_not_recognised,40
test,change_pin,40
test,compromised_card,40
test,contactless_not_working,40
test,country_support,40
test,declined_card_payment,40
test,declined_cash_withdrawal,40
test,declined_transfer,40
test,direct_debit_payment_not_recognised,40
test,disposable_card_limits,40
test,edit_personal_details,40
test,exchange_charge,40
test,exchange_rate,40
test,exchange_via_app,40
test,extra_charge_on_statement,40
test,failed_transfer,40
test,fiat_currency_support,40
test,get_disposable_virtual_card,40
test,get_physical_card,40
test,getting_spare_card,40
test,getting_virtual_card,40
test,lost_or_stolen_card,40
test,lost_or_stolen_phone,40
test,order_physical_card,40
test,passcode_forgotten,40
test,pending_card_payment,40
test,pending_cash_withdrawal,40
test,pending_top_up,40
test,pending_transfer,40
test,pin_blocked,40
test,receiving_money,40
test,request_refund,40
test,reverted_card_payment?,40
test,supported_cards_and_currencies,40
test,terminate_account,40
test,top_up_by_bank_transfer_charge,40
test,top_up_by_card_charge,40
test,top_up_by_cash_or_cheque,40
test,top_up_failed,40
test,top_up_limits,40
test,top_up_reverted,40
test,topping_up_by_card,40
test,transaction_charged_twice,40
test,transfer_fee_charged,40
test,transfer_into_account,40
test,transfer_not_received_by_recipient,40
test,transfer_timing,40
test,unable_to_verify_identity,40
test,verify_my_identity,40
test,verify_source_of_funds,40
test,verify_top_up,40
test,virtual_card_not_working,40
test,visa_or_mastercard,40
test,why_verify_identity,40
test,wrong_amount_of_cash_received,40
test,wrong_exchange_rate_for_cash_withdrawal,40
train,Refund_not_showing_up,162
train,activate_my_card,159
train,age_limit,110
train,apple_pay_or_google_pay,126
train,atm_support,87
train,automatic_top_up,127
train,balance_not_updated_after_bank_transfer,171
train,balance_not_updated_after_cheque_or_cash_deposit,181
train,beneficiary_not_allowed,156
train,cancel_transfer,157
train,card_about_to_expire,129
train,card_acceptance,59
train,card_arrival,153
train,card_delivery_estimate,112
train,card_linking,139
train,card_not_working,112
train,card_payment_fee_charged,187
train,card_payment_not_recognised,168
train,card_payment_wrong_exchange_rate,167
train,card_swallowed,61
train,cash_withdrawal_charge,177
train,cash_withdrawal_not_recognised,160
train,change_pin,122
train,compromised_card,86
train,contactless_not_working,35
train,country_support,129
train,declined_card_payment,153
train,declined_cash_withdrawal,173
train,declined_transfer,133
train,direct_debit_payment_not_recognised,182
train,disposable_card_limits,121
train,edit_personal_details,121
train,exchange_charge,121
train,exchange_rate,112
train,exchange_via_app,118
train,extra_charge_on_statement,166
train,failed_transfer,137
train,fiat_currency_support,126
train,get_disposable_virtual_card,97
train,get_physical_card,106
train,getting_spare_card,129
train,getting_virtual_card,98
train,lost_or_stolen_card,82
train,lost_or_stolen_phone,121
train,order_physical_card,120
train,passcode_forgotten,105
train,pending_card_payment,159
train,pending_cash_withdrawal,143
train,pending_top_up,149
train,pending_transfer,148
train,pin_blocked,115
train,receiving_money,95
train,request_refund,169
train,reverted_card_payment?,161
train,supported_cards_and_currencies,129
train,terminate_account,108
train,top_up_by_bank_transfer_charge,111
train,top_up_by_card_charge,114
train,top_up_by_cash_or_cheque,114
train,top_up_failed,145
train,top_up_limits,97
train,top_up_reverted,146
train,topping_up_by_card,103
train,transaction_charged_twice,175
train,transfer_fee_charged,172
train,transfer_into_account,113
train,transfer_not_received_by_recipient,171
train,transfer_timing,128
train,unable_to_verify_identity,102
train,verify_my_identity,104
train,verify_source_of_funds,113
train,verify_top_up,126
train,virtual_card_not_working,41
train,visa_or_mastercard,135
train,why_verify_identity,121
train,wrong_amount_of_cash_received,180
train,wrong_exchange_rate_for_cash_withdrawal,163
