true_label,champion_prediction,errors
balance_not_updated_after_bank_transfer,pending_transfer,5
card_acceptance,card_not_working,4
card_arrival,card_delivery_estimate,4
top_up_failed,top_up_reverted,4
transfer_timing,balance_not_updated_after_bank_transfer,4
unable_to_verify_identity,verify_my_identity,4
why_verify_identity,unable_to_verify_identity,4
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,3
card_payment_not_recognised,direct_debit_payment_not_recognised,3
disposable_card_limits,getting_virtual_card,3
fiat_currency_support,exchange_via_app,3
pending_top_up,top_up_failed,3
pending_transfer,failed_transfer,3
pin_blocked,card_not_working,3
top_up_reverted,top_up_failed,3
unable_to_verify_identity,why_verify_identity,3
verify_my_identity,why_verify_identity,3
virtual_card_not_working,card_not_working,3
virtual_card_not_working,get_disposable_virtual_card,3
why_verify_identity,verify_my_identity,3
Refund_not_showing_up,reverted_card_payment?,2
beneficiary_not_allowed,failed_transfer,2
card_delivery_estimate,card_arrival,2
card_not_working,declined_card_payment,2
card_payment_fee_charged,direct_debit_payment_not_recognised,2
card_payment_not_recognised,compromised_card,2
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,2
card_swallowed,card_not_working,2
change_pin,get_physical_card,2
direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,2
direct_debit_payment_not_recognised,extra_charge_on_statement,2
disposable_card_limits,get_disposable_virtual_card,2
exchange_charge,exchange_rate,2
exchange_via_app,exchange_charge,2
extra_charge_on_statement,verify_source_of_funds,2
fiat_currency_support,supported_cards_and_currencies,2
get_disposable_virtual_card,getting_virtual_card,2
order_physical_card,card_delivery_estimate,2
pending_transfer,balance_not_updated_after_bank_transfer,2
pin_blocked,get_physical_card,2
receiving_money,balance_not_updated_after_cheque_or_cash_deposit,2
top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,2
top_up_by_cash_or_cheque,supported_cards_and_currencies,2
top_up_failed,declined_card_payment,2
transfer_into_account,topping_up_by_card,2
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,2
transfer_not_received_by_recipient,failed_transfer,2
transfer_timing,pending_transfer,2
verify_my_identity,unable_to_verify_identity,2
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,2
wrong_amount_of_cash_received,declined_cash_withdrawal,2
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,2
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,2
activate_my_card,card_arrival,1
activate_my_card,card_payment_fee_charged,1
activate_my_card,lost_or_stolen_card,1
atm_support,card_acceptance,1
atm_support,declined_cash_withdrawal,1
automatic_top_up,balance_not_updated_after_bank_transfer,1
automatic_top_up,top_up_reverted,1
balance_not_updated_after_bank_transfer,failed_transfer,1
balance_not_updated_after_bank_transfer,transfer_timing,1
balance_not_updated_after_cheque_or_cash_deposit,top_up_by_cash_or_cheque,1
beneficiary_not_allowed,pin_blocked,1
cancel_transfer,card_payment_wrong_exchange_rate,1
cancel_transfer,request_refund,1
cancel_transfer,transfer_not_received_by_recipient,1
card_acceptance,pending_card_payment,1
card_acceptance,supported_cards_and_currencies,1
card_arrival,get_physical_card,1
card_delivery_estimate,country_support,1
card_linking,getting_spare_card,1
card_not_working,activate_my_card,1
card_not_working,pin_blocked,1
card_not_working,why_verify_identity,1
card_payment_fee_charged,compromised_card,1
card_payment_fee_charged,extra_charge_on_statement,1
card_payment_not_recognised,request_refund,1
card_payment_wrong_exchange_rate,reverted_card_payment?,1
card_payment_wrong_exchange_rate,transaction_charged_twice,1
card_swallowed,atm_support,1
card_swallowed,declined_cash_withdrawal,1
card_swallowed,pending_cash_withdrawal,1
cash_withdrawal_charge,card_payment_fee_charged,1
cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,1
cash_withdrawal_not_recognised,card_payment_not_recognised,1
cash_withdrawal_not_recognised,compromised_card,1
compromised_card,card_linking,1
compromised_card,card_payment_not_recognised,1
compromised_card,lost_or_stolen_card,1
contactless_not_working,card_not_working,1
contactless_not_working,order_physical_card,1
contactless_not_working,reverted_card_payment?,1
contactless_not_working,top_up_by_card_charge,1
country_support,atm_support,1
declined_card_payment,reverted_card_payment?,1
declined_cash_withdrawal,card_not_working,1
declined_cash_withdrawal,declined_card_payment,1
declined_cash_withdrawal,wrong_amount_of_cash_received,1
declined_transfer,cancel_transfer,1
declined_transfer,card_not_working,1
declined_transfer,declined_card_payment,1
declined_transfer,declined_cash_withdrawal,1
declined_transfer,failed_transfer,1
declined_transfer,transaction_charged_twice,1
declined_transfer,transfer_fee_charged,1
declined_transfer,transfer_into_account,1
direct_debit_payment_not_recognised,request_refund,1
direct_debit_payment_not_recognised,reverted_card_payment?,1
disposable_card_limits,getting_spare_card,1
exchange_charge,exchange_via_app,1
exchange_charge,wrong_exchange_rate_for_cash_withdrawal,1
exchange_rate,exchange_charge,1
exchange_via_app,fiat_currency_support,1
exchange_via_app,wrong_exchange_rate_for_cash_withdrawal,1
extra_charge_on_statement,card_payment_not_recognised,1
extra_charge_on_statement,reverted_card_payment?,1
extra_charge_on_statement,transfer_not_received_by_recipient,1
failed_transfer,balance_not_updated_after_bank_transfer,1
failed_transfer,declined_transfer,1
failed_transfer,top_up_by_bank_transfer_charge,1
failed_transfer,transfer_into_account,1
fiat_currency_support,country_support,1
fiat_currency_support,exchange_charge,1
fiat_currency_support,pending_card_payment,1
get_disposable_virtual_card,disposable_card_limits,1
get_disposable_virtual_card,getting_spare_card,1
get_disposable_virtual_card,order_physical_card,1
get_physical_card,activate_my_card,1
getting_spare_card,age_limit,1
getting_spare_card,getting_virtual_card,1
getting_spare_card,transaction_charged_twice,1
getting_virtual_card,card_delivery_estimate,1
getting_virtual_card,order_physical_card,1
lost_or_stolen_card,cash_withdrawal_not_recognised,1
lost_or_stolen_card,country_support,1
lost_or_stolen_card,topping_up_by_card,1
lost_or_stolen_card,transaction_charged_twice,1
lost_or_stolen_phone,lost_or_stolen_card,1
order_physical_card,country_support,1
order_physical_card,getting_virtual_card,1
order_physical_card,lost_or_stolen_card,1
order_physical_card,top_up_by_card_charge,1
pending_card_payment,card_not_working,1
pending_card_payment,card_payment_not_recognised,1
pending_card_payment,transaction_charged_twice,1
pending_cash_withdrawal,cash_withdrawal_charge,1
pending_cash_withdrawal,cash_withdrawal_not_recognised,1
