true_routing_group,predicted_routing_group,rows
account_currency_and_identity,account_currency_and_identity,432
account_currency_and_identity,cards_and_devices,3
account_currency_and_identity,cash_withdrawals,3
account_currency_and_identity,top_ups_and_deposits,1
account_currency_and_identity,transfers,1
cards_and_devices,account_currency_and_identity,5
cards_and_devices,cards_and_devices,1253
cards_and_devices,cash_withdrawals,6
cards_and_devices,payments_and_refunds,11
cards_and_devices,top_ups_and_deposits,5
cash_withdrawals,account_currency_and_identity,3
cash_withdrawals,cards_and_devices,7
cash_withdrawals,cash_withdrawals,269
cash_withdrawals,transfers,1
payments_and_refunds,account_currency_and_identity,3
payments_and_refunds,cards_and_devices,6
payments_and_refunds,cash_withdrawals,2
payments_and_refunds,payments_and_refunds,188
payments_and_refunds,transfers,1
top_ups_and_deposits,cards_and_devices,7
top_ups_and_deposits,payments_and_refunds,1
top_ups_and_deposits,top_ups_and_deposits,425
top_ups_and_deposits,transfers,7
transfers,account_currency_and_identity,1
transfers,cards_and_devices,6
transfers,cash_withdrawals,1
transfers,payments_and_refunds,3
transfers,top_ups_and_deposits,7
transfers,transfers,422
